Sprint 1 (da 09/08/2021 a 15/08/2021),,,,,,,,,,,
Product Backlog Item,Sprint Task,URL,Volunteer,Initial estimate of effort,1,2,3,4,5,6,7
Setting up the build environment,Create project repository,,Nicolas Farabegoli,1,0,0,0,0,0,0,0
,Create sbt project,,Nicolas Farabegoli,2,0,0,0,0,0,0,0
,"Create GitHub Actions workflow:
- Create action via sbt plugin
- Create job to compile LaTeX report
- Create job to publish the compiled .jar to Maven Central",,Nicolas Farabegoli,7,5,3,0,0,0,0,0
Deepen our knowledge of the ECS pattern,Basic knowledge of the ECS pattern,,"Nicolas Farabegoli, Linda Vitali, Nicolò Di Domenico, Giacomo Cavalieri",5,5,5,4,3,0,0,0
,How to efficiently store and manipulate components,,,12,12,12,10,5,5,0,0
,How entities are represented,,,3,3,3,0,0,0,0,0
Deepen our knowledge of Scala 3,New implicits,https://docs.scala-lang.org/scala3/reference/contextual.html,"Nicolas Farabegoli, Linda Vitali, Nicolò Di Domenico, Giacomo Cavalieri",7,7,7,7,4,3,2,0
,Macros and metaprogramming,https://docs.scala-lang.org/scala3/guides/macros/index.html,"Nicolas Farabegoli, Linda Vitali, Nicolò Di Domenico, Giacomo Cavalieri",20,20,20,15,10,10,5,0
,Context functions,https://docs.scala-lang.org/scala3/reference/contextual/context-functions.html,"Nicolas Farabegoli, Linda Vitali, Nicolò Di Domenico, Giacomo Cavalieri",3,3,3,3,0,0,0,0
Design architecture,Design architecture,,,10,10,10,10,0,0,0,0
